"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"585881",4,0,136,96,0,1,2,2,0,4,1,0,0,4,0,0,1,1,0,0,0,0
"241063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"3879979",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,4,2
"355203",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"567949",1,5,0,2,0,4,3,3,1,1,7,13,0,0,0,0,4,8,0,3,0,2
"553643",0,0,0,0,0,0,1,4,14,0,0,0,0,6,1,0,0,0,0,0,0,0
"625248",236,2823,19,3315,1009,6149,614,77,1034,1304,13,3641,342,4,11,7,553,3850,1,6,4,7
"300487",3,0,2,3,0,3,1,0,0,0,3,1,2,2,2,2,3,1,1,0,0,0
"1110842",1,2,0,0,0,0,2,6,1,1,0,3,0,444,1,6,2,0,0,1621,660,970
"729052",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,1,0,0,0,0,0
"559099",11,9,9,3,2,2,34,48,23,15,3,1,1,3,3,1,2,3,11,0,0,0
"244070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"352588",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"4388239",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1130771",0,0,0,0,0,0,0,1,0,0,0,0,0,41,1,0,0,0,1,55,100,149
"4391085",0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,14,5,6
"266210",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"484304",61,127,61,7,2,137,29,70,20,137,117,136,70,52,86,386,50,292,61,0,0,1
"516966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"521752",5,3,7,1,0,3,9,5,35,5,4,7,0,3,7,0,0,24,25,0,0,0
"356011",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"736957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"751490",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"727945",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3823",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
