"","StefanoR2","Wanlip4","Dalderse","Galashiels","Slough","BURMAD","StefanoR1","StefanoR3","Stirling","Wanlip1","CRMAD","Wanlip3","BROMAD","Reading","MapleLodge","EPMAD","BLMAD","Wanlip2","Hawick","Howdon","DAVMAD","BranSands"
"1110021",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"817598",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1132572",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3889461",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"459107",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105215",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2904801",0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"105210",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146193",3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"290186",5,1,1,1,0,0,2,1,1,3,3,0,1,0,5,0,0,2,1,0,0,0
"1146784",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944202",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"176591",0,1,0,0,0,4,0,0,0,2,1,0,0,0,0,1,5,0,8,0,0,0
"804735",3,2,1,2,0,6,3,0,0,7,3,0,0,5,16,3,3,0,45,0,0,0
"512485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"695185",1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"242389",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"748987",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1009894",11,2,1,0,0,0,5,11,2,2,8,4,0,0,0,1,0,4,5,0,0,0
"382468",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"806029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4474736",0,10,3,5,0,3,0,1,48,8,1,5,4,0,7,4,8,6,3,0,0,0
"1009362",0,2,3,0,0,1,3,1,1,1,4,0,0,1,2,3,6,1,0,0,0,0
"170405",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"561061",1,0,11,10,0,2,0,0,2,0,0,0,1,0,0,1,3,0,4,0,0,0
"170409",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4465540",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4315290",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3061107",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"277951",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4312143",0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0
"1065974",510,2160,557,161,853,235,266,586,869,2871,1422,3035,1343,56,744,1311,929,4905,795,4,177,10
"4479762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"154506",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,5,1
"205772",0,0,3,0,1,1,0,0,2,1,0,0,3,0,0,27,0,1,4,0,0,0
"554221",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1053703",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1097359",61,6,16,47,1,1,463,313,20,4,17,3,0,0,17,72,48,1,46,0,0,1
"997642",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"636827",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"5162",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"513360",0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0
"567725",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"540826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"364538",9,4,8,0,0,1,3,6,2,3,6,0,0,0,4,0,0,32,0,0,0,0
"540924",0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,3,3,4,0,0,0,0
"347428",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"255161",1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0
"780555",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1130846",4,0,0,0,0,0,0,1,0,0,0,1,0,2,4,0,1,0,1,0,0,0
"319982",0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0
"4350014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"263590",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"574032",0,0,2,1,1,0,1,0,11,0,0,0,0,3,0,0,5,0,44,1,0,0
"537062",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4447100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"541299",3,6,3,2,13,14,2,3,9,10,25,5,11,8,10,1,5,4,14,0,0,1
"526682",2,4,1,0,1,1,0,0,0,0,2,1,1,1,2,3,0,3,3,0,0,0
"449855",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"813217",1,0,0,0,0,0,2,0,0,4,4,0,0,0,1,0,1,0,0,0,0,0
"575630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1
"1114647",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"589010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"141042",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"286579",0,5,21,31,0,23,0,0,3,4,14,9,36,2,5,48,71,6,23,0,0,0
"4448095",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0
"1076737",0,2,2,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,3,0,1,0
"236358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"2125432",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"779751",0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"344495",2,0,0,1,0,0,3,3,3,0,1,20,0,3,1,0,4,0,0,0,0,0
"1068051",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"89643",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1656470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"347746",112,20,26,4,0,1,133,102,2,38,142,24,1,0,76,0,2,51,1,1,0,0
"825830",1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0
"1020605",1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"511099",0,1,0,1,0,1,1,0,1,1,253,1,0,2,2,31,0,0,0,0,0,0
"913174",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"469382",2,3,0,0,0,0,0,0,1,5,0,4,0,0,0,0,0,16,0,0,0,0
"12574",0,1,5,3,2,1,0,0,0,3,3,3,3,1,4,2,1,3,1,0,0,0
"2360704",1,8,3,0,1,2,0,3,2,6,4,6,0,1,5,0,0,4,3,0,0,0
