Name,TaxLevel,Metabolism
Methanolinea,Genus,H2_Methanogen
Methanolobus,Genus,CH3_Methanogen
Methanomassiliicoccaceae,Genus,H2_Methanogen
Methanomassiliicoccales,Genus,CH3_Methanogen
Methanomassiliicoccus,Genus,CH3_Methanogen
Methanomethylovorans,Genus,CH3_Methanogen
Methanomicrobiaceae,Genus,H2_Methanogen
Methanomicrobiales,Genus,H2_Methanogen
Methanomicrobium,Genus,H2_Methanogen
Methanonatronarchaeaceae,Genus,CH3_Methanogen
Methanonatronarchaeum,Genus,CH3_Methanogen
Methanoplanus,Genus,H2_Methanogen
Methanopyraceae,Family,H2_Methanogen
Methanopyrus,Genus,H2_Methanogen
Methanoregula,Genus,H2_Methanogen
Methanosaeta,Genus,Acet_Methanogen
Methanosalsum,Genus,CH3_Methanogen
Methanosarcina,Genus,Acet_Methanogen
Methanosarcinales,Order,CH3_Methanogen
Methanosphaera,Genus,CH3_Methanogen
Methanosphaerula,Genus,H2_Methanogen
Methanospirillium,Genus,H2_Methanogen
Methanospirillum,Genus,H2_Methanogen
Methanothermaceae,Genus,H2_Methanogen
Methanothermobacter,Genus,H2_Methanogen
Methanothermococcus,Genus,H2_Methanogen
Methanothermus,Genus,H2_Methanogen
Methanothrix,Genus,Acet_Methanogen
Methanotorris,Genus,H2_Methanogen
Methyl Methanogen,Genus,Ferm
Methylobacillus,Genus,Methylotroph
Methylobacter,Genus,Methanotroph
Methylobacterium,Genus,Methylotroph
Methylocaldum,Genus,Methanotroph
Methylocapsa,Genus,Methanotroph
Methylocella,Genus,Methanotroph
Methylococcaceae,Genus,Methanotroph
Methylococcales,Genus,Methanotroph
Methylococcus,Genus,Methanotroph
Methylocystaceae,Family,Methanotroph
Methylocystis,Genus,Methanotroph
Methyloferula,Genus,Methanotroph
Methylogaea,Genus,Methanotroph
Methyloglobulus,Genus,Methanotroph
Methylohalobius,Genus,Methanotroph
Methylomarinovum,Genus,Methanotroph
Methylomarinum,Genus,Methanotroph
Methylomicrobium,Genus,Methanotroph
Methylomonas,Genus,Methanotroph
Methyloparacoccus,Genus,Methanotroph
Methylophaga,Genus,Methylotroph
Methylophilus,Genus,Methylotroph
Methyloprofundus,Genus,Methanotroph
Methylorhabdus,Genus,Methanotroph
Methylosarcina,Genus,Methanotroph
Methylosinus,Genus,Methanotroph
Methylosoma,Genus,Methanotroph
Methylosphaera,Genus,Methanotroph
Methylothermus,Genus,Methanotroph
Methylovirgula,Genus,Methanotroph
Methylovorus,Genus,Methanotroph
Methylovulum,Genus,Methanotroph
Microbacterium,Genus,AerobicResp
Microbispora,Genus,AerobicResp
Microbulbifer,Genus,AerobicResp
Micrococcus,Genus,AerobicResp
Microlunatus,Genus,AerobicResp
Micromonospora,Genus,AerobicResp
Microscilla,Genus,AerobicResp
Microtetraspora,Genus,AerobicResp
Microvirgula,Genus,AerobicResp
Millisia,Genus,AerobicResp
Mn,Genus,Ferm
Mobiluncus,Genus,Ferm
Modestobacter,Genus,AerobicResp
Mogibacterium,Genus,Ferm
Moorella,Genus,Ferm
Moraxella,Genus,AerobicResp
Morganella,Genus,AerobicResp
Moritella,Genus,Ferm
Moryella,Genus,Ferm
Muricauda,Genus,AerobicResp
Myceligenerans,Genus,AerobicResp
Mycetocola,Genus,AerobicResp
Mycobacterium,Genus,AerobicResp
Myroides,Genus,AerobicResp
NH3 Ox,Genus,Ferm
NO2 Ox,Genus,Ferm
Natronococcus,Genus,AerobicResp
Natronoflexus,Genus,Ferm
Natronomonas,Genus,AerobicResp
Natronorubrum,Genus,AerobicResp
Neisseria,Genus,AerobicResp
Nesterenkonia,Genus,AerobicResp
Nevskia,Genus,AerobicResp
Nitrate,Genus,Ferm
Nitriliruptor,Genus,AerobicResp
Nitrite,Genus,Ferm
Nitrobacter,Genus,NOB
Nitrococcus,Genus,NOB
Nitrosocaldus,Genus,Ammonia_Oxidizer
Nitrosococcus,Genus,Ammonia_Oxidizer
Nitrosomonas,Genus,Ammonia_Oxidizer
Nitrosopumilus,Genus,Ammonia_Oxidizer
Nitrososphaera,Genus,Ammonia_Oxidizer
Nitrosospira,Genus,Ammonia_Oxidizer
Nitrosotalea,Genus,Ammonia_Oxidizer
Nitrosovibrio,Genus,Ammonia_Oxidizer
Nitrospina,Genus,NOB
Nitrotoga,Genus,NOB
Nocardia,Genus,AerobicResp
Nocardioides,Genus,AerobicResp
Nocardiopsis,Genus,AerobicResp
Nonlabens,Genus,AerobicResp
Oceanimonas,Genus,AerobicResp
Oceanobacillus,Genus,AerobicResp
Oceanospirillum,Genus,AerobicResp
Ochrobactrum,Genus,AerobicResp
Octadecabacter,Genus,AerobicResp
Oenococcus,Genus,AerobicResp
Oerskovia,Genus,AerobicResp
Oligella,Genus,AerobicResp
Opitutus,Genus,Ferm
Orenia,Genus,Ferm
Oribacterium,Genus,Ferm
Owenweeksia,Genus,AerobicResp
Oxobacter,Genus,AerobicResp
Oxygen,Genus,Ferm
Paenibacillus,Genus,AerobicResp
Paludibacter,Genus,Ferm
Pantoea,Genus,AerobicResp
Papillibacter,Genus,Ferm
Paracraurococcus,Genus,AerobicResp
Pasteurella,Genus,AerobicResp
Patulibacter,Genus,AerobicResp
Paucimonas,Genus,AerobicResp
Pectinatus,Genus,Ferm
Pediococcus,Genus,Ferm
Pedobacter,Genus,AerobicResp
Pedomicrobium,Genus,AerobicResp
Pelagicoccus,Genus,AerobicResp
Pelistega,Genus,AerobicResp
Pelobacter,Genus,Ferm
Pelotomaculum,Genus,Ferm
Peptococcus,Genus,Ferm
Peptostreptococcus,Genus,Ferm
Persicobacter,Genus,AerobicResp
Petrotoga,Genus,Ferm
Phascolarctobacterium,Genus,Ferm
Phenylobacterium,Genus,AerobicResp
Phocoenobacter,Genus,AerobicResp
Photobacterium,Genus,AerobicResp
Photorhabdus,Genus,AerobicResp
Phycicoccus,Genus,AerobicResp
Phyllobacterium,Genus,AerobicResp
Picrophilus,Genus,AerobicResp
Pilimelia,Genus,AerobicResp
Pirellula,Genus,AerobicResp
Piscirickettsia,Genus,AerobicResp
Planctomyces,Genus,AerobicResp
Planifilum,Genus,AerobicResp
Planococcus,Genus,AerobicResp
Planomicrobium,Genus,AerobicResp
Planomonospora,Genus,AerobicResp
Plesiomonas,Genus,AerobicResp
Polaribacter,Genus,AerobicResp
Polaromonas,Genus,AerobicResp
Pontibacillus,Genus,AerobicResp
Pontibacter,Genus,AerobicResp
Porphyromonas,Genus,Ferm
Pragia,Genus,AerobicResp
Prauserella,Genus,AerobicResp
Prevotella,Genus,Ferm
Promicromonospora,Genus,AerobicResp
Propionicimonas,Genus,AerobicResp
Propionigenium,Genus,Ferm
Propionimicrobium,Genus,Ferm
Propionispira,Genus,Ferm
Propionispora,Genus,Ferm
Propionivibrio,Genus,Ferm
Prosthecobacter,Genus,AerobicResp
Prosthecomicrobium,Genus,AerobicResp
Proteiniclasticum,Genus,Ferm
Proteus,Genus,AerobicResp
Providencia,Genus,AerobicResp
Pseudaminobacter,Genus,AerobicResp
Pseudoalteromonas,Genus,AerobicResp
Pseudobutyrivibrio,Genus,Ferm
Pseudomonas,Genus,AerobicResp
Pseudonocardia,Genus,AerobicResp
Pseudoramibacter,Genus,Ferm
Pseudoxanthomonas,Genus,AerobicResp
Psychrobacter,Genus,AerobicResp
Psychroflexus,Genus,AerobicResp
Psychromonas,Genus,AerobicResp
Psychroserpens,Genus,AerobicResp
Puniceicoccus,Genus,AerobicResp
